"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry30","70","ec:1.2.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.3","rn:R05237",541,124,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,2653,4404,60.2406902815622,0.0333333333333333,2,0,0,0.00416666666666667,3,0,2,2,3,5,1,0,"HB"
"entry32","72","ec:1.2.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.3","rn:R05238",542,180,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,2653,4404,60.2406902815622,0.0333333333333333,2,0,0,0.00416666666666667,3,0,2,2,3,5,1,0,"HB"
"entry41","96","ec:1.2.1.46","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.46","rn:R00604",358,612,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,623,4404,14.1462306993642,0,0,0,0,0.00367647058823529,1,0,2,2,3,2,6.6500990501596e-17,0,"NHNB"
"entry43","98","ec:4.5.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.5.1.3","rn:R00603",322,637,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,2,4404,0.0454132606721163,0.00416666666666667,1,0,0,0.00390625,1,0,3,2,3,2,0,0,"NHNB"
"entry47","103","ec:3.8.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.8.1.5","rn:R05284",323,677,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,442,4404,10.0363306085377,0,3,0,0,0.00552486187845304,3,1.16879697178534e-17,3,2,3,3,0,1,"HNB"
"entry49","106","ec:1.1.2.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.2.7","rn:R09128",431,666,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,53,4404,1.20345140781108,0.00416666666666667,1,0,0,0.00442477876106195,3,0,2,2,3,2,0.380852082065855,0,"NHNB"
"entry50","107","ec:1.1.2.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.2.8","rn:R05285",431,687,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,194,4404,4.40508628519528,0.00416666666666667,1,0,0,0.00442477876106195,3,0,2,2,3,2,0.380852082065855,0,"NHNB"
"entry52","110","ec:1.2.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.3","rn:R05286",542,676,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,2653,4404,60.2406902815622,0.0333333333333333,2,0,0,0.00416666666666667,3,0,2,2,3,5,1,0,"HB"
"entry54","112","ec:3.8.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.8.1.3","rn:R05287",649,666,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,574,4404,13.0336058128974,0,0,0,0,0.00367647058823529,3,0,3,2,3,1,0,0,"NHNB"
"entry55","113","ec:3.8.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.8.1.2","rn:R05287",649,687,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,1725,4404,39.1689373297003,0,0,0,0,0.00367647058823529,3,0,3,2,3,1,0,0,"NHNB"
"entry56","114","ec:1.14.12.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.12.11","rn:R09151",238,474,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,5,4404,0.113533151680291,0.0125,2,0,0,0.00444444444444444,1,0,2,2,3,3,0,0,"HB"
"entry57","115","ec:1.14.12.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.12.11","rn:R09152",238,577,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,5,4404,0.113533151680291,0.0125,2,0,0,0.00444444444444444,1,0,2,2,3,3,0,0,"HB"
"entry66","137","ec:1.2.98.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.98.1","rn:R00614",408,612,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,65,4404,1.47593097184378,0.00833333333333333,1,0,0,0.004149377593361,1,0,2,2,3,2,0,0,"NHNB"
"entry69","141","ec:4.4.1.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.4.1.23","rn:R11897",645,394,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,5,4404,0.113533151680291,0.00833333333333333,1,1,1,0.004149377593361,2,1,3,2,3,2,0,0,"NHNB"
"entry72","145","ec:1.14.13.69","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.69","rn:R11901",540,441,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,5,4404,0.113533151680291,0.0125,1,1,0.333333333333333,0.004149377593361,2,1,2,2,3,3,0,0,"HB"
"entry73","147","ec:4.4.1.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.4.1.23","rn:R11899",645,442,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,5,4404,0.113533151680291,0.00833333333333333,1,1,1,0.004149377593361,2,1,3,2,3,2,0,0,"NHNB"
